id,customer_id,name,location_name,segment_name,phone_number,email,ingestion_date,last_modified_date
0,1,Jose Cruz,Puebla,Pequeño,522073914568,FTKjiPMpcb@wlyknq.com,2024-02-23 20:28:32,2024-02-23 20:28:32
1,2,Juan Garcia,Merida,Pequeño,522481097635,WzqhtXwuve@vqucze.com,2024-02-23 20:28:32,2024-02-23 20:28:32
2,3,Manuel Garcia,Queretaro,Grande,527914382056,okixqIGOJB@mhlgjs.com,2024-02-23 20:28:32,2024-02-23 20:28:32
3,4,Pedro Gonzalez,Cancun,Mediano,526078954312,fIyvaqDJsA@xlarct.com,2024-02-23 20:28:32,2024-02-23 20:28:32
4,5,Jorge Ramirez,Morelia,Mediano,528603791425,ktwnSleDcP@mxfpjy.com,2024-02-23 20:28:32,2024-02-23 20:28:32
5,6,Carlos Gonzalez,Puebla,Pequeño,523650947128,fXWANycZjU@zamhlq.com,2024-02-23 20:28:32,2024-02-23 20:28:32
6,7,Alejandro Rodriguez,Leon,Grande,526583914027,adrXvfiCTz@grlqiy.com,2024-02-23 20:28:32,2024-02-23 20:28:32
7,8,Juan Rodriguez,Cancun,Mediano,526483175290,BxDZKuPjWd@wtldqj.com,2024-02-23 20:28:32,2024-02-23 20:28:32
8,9,Juan Hernandez,Morelia,Mediano,524128950367,YOVXKEmkFT@yauevh.com,2024-02-23 20:28:32,2024-02-23 20:28:32
9,10,Luis Lopez,Morelia,Mediano,526541798032,aIUjTNkueR@pgaeid.com,2024-02-23 20:28:32,2024-02-23 20:28:32
10,11,Carlos Hernandez,Merida,Mediano,520286519374,TYLXePEIpN@phgkdx.com,2024-02-23 20:28:32,2024-02-23 20:28:32
11,12,Fernando Garcia,Morelia,Pequeño,524250987361,OpyBnsRYkQ@howgql.com,2024-02-23 20:28:32,2024-02-23 20:28:32
12,13,Alejandro Cruz,Leon,Mediano,529378264150,ViuGMaYLpg@jkbisq.com,2024-02-23 20:28:32,2024-02-23 20:28:32
13,14,Fernando Cruz,Puebla,Mediano,522875193604,weuTviOEMm@gcryvt.com,2024-02-23 20:28:32,2024-02-23 20:28:32
14,15,Jose Lopez,Leon,Mediano,527235804961,fjGiKrdcOJ@hxgart.com,2024-02-23 20:28:32,2024-02-23 20:28:32
15,16,Jose Garcia,Puebla,Grande,528916570423,NSawsHuXxc@jxobwr.com,2024-02-23 20:28:32,2024-02-23 20:28:32
16,17,Jose Hernandez,Tijuana,Mediano,527653081924,YbfmntECZP@olzntx.com,2024-02-23 20:28:32,2024-02-23 20:28:32
17,18,Luis Gonzalez,Cancun,Mediano,528763019425,INDodvlieJ@bopaqc.com,2024-02-23 20:28:32,2024-02-23 20:28:32
18,19,Miguel Hernandez,Tijuana,Mediano,523726049851,gVqJWetTdU@bvkwrz.com,2024-02-23 20:28:32,2024-02-23 20:28:32
19,20,Miguel Ramirez,Tijuana,Pequeño,520183729645,iMshYQXrOZ@ljwocg.com,2024-02-23 20:28:32,2024-02-23 20:28:32
20,21,Miguel Martinez,Tijuana,Grande,522968705134,GlKuYWHkhP@lsmxae.com,2024-02-23 20:28:32,2024-02-23 20:28:32
21,22,Jose Ramirez,Morelia,Mediano,521480275639,wqUhfPHSju@brztwq.com,2024-02-23 20:28:32,2024-02-23 20:28:32
22,23,Miguel Gonzalez,Cancun,Pequeño,523815690247,HUgaQAxmKf@loftgq.com,2024-02-23 20:28:32,2024-02-23 20:28:32
23,24,Manuel Ramirez,Morelia,Pequeño,525037894621,wBNdrtFpWH@qjunxo.com,2024-02-23 20:28:32,2024-02-23 20:28:32
24,25,Fernando Sanchez,Ciudad de Mexico,Pequeño,524068215793,wBdSHjuGPE@pzwoer.com,2024-02-23 20:28:32,2024-02-23 20:28:32
25,26,Jose Martinez,Morelia,Grande,528512349067,PonhGvuajz@ykcwdq.com,2024-02-23 20:28:32,2024-02-23 20:28:32
26,27,Miguel Cruz,Guadalajara,Grande,520972456138,NXtqZzrUbv@epnwji.com,2024-02-23 20:28:32,2024-02-23 20:28:32
27,28,Miguel Garcia,Queretaro,Mediano,521246853709,USLnTOKjqt@oemkyr.com,2024-02-23 20:28:32,2024-02-23 20:28:32
28,29,Pedro Perez,Tijuana,Pequeño,520456178329,gznZsFQuay@wzcgtu.com,2024-02-23 20:28:32,2024-02-23 20:28:32
29,30,Juan Sanchez,Puebla,Pequeño,522854360917,wXRLCTdkij@rspatf.com,2024-02-23 20:28:32,2024-02-23 20:28:32
30,31,Luis Perez,Queretaro,Pequeño,524510398627,yHTdoUnaKB@oylieb.com,2024-02-23 20:28:32,2024-02-23 20:28:32
31,32,Pedro Martinez,Merida,Pequeño,525647308921,IEtBijxvPM@iflypq.com,2024-02-23 20:28:32,2024-02-23 20:28:32
32,33,Carlos Rodriguez,Morelia,Mediano,523812940765,UrMyeKTcdD@sydvqm.com,2024-02-23 20:28:32,2024-02-23 20:28:32
33,34,Fernando Gonzalez,Ciudad de Mexico,Grande,523806714259,EosLMYzWwC@kwzagh.com,2024-02-23 20:28:32,2024-02-23 20:28:32
34,35,Miguel Perez,Leon,Mediano,528346752019,CxkRbYDMTa@rlyktn.com,2024-02-23 20:28:32,2024-02-23 20:28:32
35,36,Miguel Lopez,Leon,Pequeño,520259473681,tCyOkeqGnJ@edguya.com,2024-02-23 20:28:32,2024-02-23 20:28:32
36,37,Juan Martinez,Monterrey,Pequeño,525641379802,RWpglYqdNz@cdyloh.com,2024-02-23 20:28:32,2024-02-23 20:28:32
37,38,Jose Rodriguez,Leon,Pequeño,520894326751,NvsVYgTHqG@upackf.com,2024-02-23 20:28:32,2024-02-23 20:28:32
38,39,Jorge Perez,Leon,Mediano,522091687345,dIbNHFZUVl@etvbju.com,2024-02-23 20:28:32,2024-02-23 20:28:32
39,40,Luis Sanchez,Morelia,Grande,520189257463,UaXDnHKush@wafsvg.com,2024-02-23 20:28:32,2024-02-23 20:28:32
40,41,Alejandro Ramirez,Monterrey,Grande,526541038972,aRJcBqeMfZ@fackze.com,2024-02-23 20:28:32,2024-02-23 20:28:32
41,42,Manuel Cruz,Morelia,Pequeño,521578260349,HOlNdSVJtY@tznfrm.com,2024-02-23 20:28:32,2024-02-23 20:28:32
42,43,Juan Cruz,Ciudad de Mexico,Pequeño,527196485302,KaRuNHQjSf@rveucz.com,2024-02-23 20:28:32,2024-02-23 20:28:32
43,44,Pedro Cruz,Guadalajara,Mediano,522138506947,WjSxRKZALO@gbmrop.com,2024-02-23 20:28:32,2024-02-23 20:28:32
44,45,Carlos Lopez,Leon,Pequeño,526138724059,aLDrqkSUYP@tesrdn.com,2024-02-23 20:28:32,2024-02-23 20:28:32
45,46,Fernando Rodriguez,Guadalajara,Pequeño,523972854016,gMPhLoRfkG@ntcduk.com,2024-02-23 20:28:32,2024-02-23 20:28:32
46,47,Alejandro Gonzalez,Merida,Pequeño,528715962043,rWQBnpFlfA@awpeml.com,2024-02-23 20:28:32,2024-02-23 20:28:32
47,48,Alejandro Martinez,Leon,Grande,529351287640,fVDNyYCOqx@erbdwv.com,2024-02-23 20:28:32,2024-02-23 20:28:32
48,49,Juan Gonzalez,Tijuana,Pequeño,528637045129,deguInwypC@iqogwk.com,2024-02-23 20:28:32,2024-02-23 20:28:32
49,50,Carlos Garcia,Merida,Pequeño,529821637504,WeNEDnbfAG@hsicta.com,2024-02-23 20:28:32,2024-02-23 20:28:32
50,51,Manuel Martinez,Tijuana,Grande,527863029451,LpNEgqebmi@nymgqj.com,2024-02-23 20:28:32,2024-02-23 20:28:32
51,52,Pedro Sanchez,Merida,Mediano,524231789506,vMTBtOVeAd@rywage.com,2024-02-23 20:28:32,2024-02-23 20:28:32
52,53,Jorge Garcia,Tijuana,Pequeño,525147083629,iUgRlPWyYT@xbyqwi.com,2024-02-23 20:28:32,2024-02-23 20:28:32
53,54,Fernando Ramirez,Queretaro,Grande,521803695472,RBQHKfZskV@dmxiwa.com,2024-02-23 20:28:32,2024-02-23 20:28:32
54,55,Jorge Sanchez,Leon,Mediano,528470152963,DbqYHKWwkS@ohxrgv.com,2024-02-23 20:28:32,2024-02-23 20:28:32
55,56,Alejandro Garcia,Tijuana,Pequeño,527160394528,NAbqwFdMSj@zyspck.com,2024-02-23 20:28:32,2024-02-23 20:28:32
56,57,Jorge Gonzalez,Monterrey,Pequeño,528643701529,tWGqdYnRAy@auyxmf.com,2024-02-23 20:28:32,2024-02-23 20:28:32
57,58,Manuel Gonzalez,Leon,Pequeño,521069874532,xKREdvTaXG@fshupt.com,2024-02-23 20:28:32,2024-02-23 20:28:32
58,59,Fernando Martinez,Puebla,Grande,525963728140,HBEybDhrIl@edtxyo.com,2024-02-23 20:28:32,2024-02-23 20:28:32
59,60,Carlos Ramirez,Tijuana,Mediano,525329671480,rGZsIRkJCW@raezgv.com,2024-02-23 20:28:32,2024-02-23 20:28:32
60,61,Pedro Garcia,Guadalajara,Pequeño,521205739684,WLkOcHVaJm@aemsli.com,2024-02-23 20:28:32,2024-02-23 20:28:32
61,62,Luis Hernandez,Merida,Pequeño,527841369520,BsKqxfCuJb@irhxzj.com,2024-02-23 20:28:32,2024-02-23 20:28:32
62,63,Juan Perez,Cancun,Mediano,523694208571,jauxbsSXLe@comjta.com,2024-02-23 20:28:32,2024-02-23 20:28:32
